ref_speed,left_speed,left_var,right_speed,right_var,avg_speed,avg_var
0.01,0.0116498,6.04513e-10,0.0104293,5.44062e-09,0.0110396,2.41805e-09
0.02,0.0191983,3.86888e-08,0.0168287,6.04513e-10,0.0180135,7.40529e-09
0.03,0.029754,3.86888e-08,0.0302268,2.41805e-09,0.0299904,1.51128e-08
0.04,0.0380337,2.41805e-09,0.0369396,6.04513e-10,0.0374867,1.36015e-09
0.05,0.0513988,4.89656e-08,0.0531141,6.04513e-10,0.0522565,1.51128e-08
0.06,0.0623724,1.51128e-08,0.0628012,5.44062e-09,0.0625868,9.67221e-09
0.07,0.0737363,3.86888e-08,0.0710039,1.51128e-08,0.0723701,2.55407e-08
0.08,0.0827417,6.04513e-08,0.081917,2.41805e-07,0.0823294,1.36015e-07
0.09,0.0906915,7.83449e-07,0.0921539,2.41805e-09,0.0914227,2.18229e-07
0.1,0.108037,4.89656e-08,0.10465,3.77821e-07,0.106344,1.74704e-07
0.11,0.115959,3.86888e-08,0.113018,5.44062e-09,0.114489,1.82865e-08
0.12,0.126306,2.17625e-08,0.122738,1.51128e-08,0.124522,1.51128e-10
0.13,0.136037,1.54755e-07,0.131623,6.04513e-10,0.13383,3.40039e-08
0.14,0.143833,1.95862e-07,0.143443,4.89656e-08,0.143638,1.10173e-07
0.15,0.155829,9.67221e-09,0.151327,1.51128e-08,0.153578,1.22414e-08
0.16,0.164818,6.04513e-10,0.166643,4.89656e-08,0.165731,1.51128e-08
0.17,0.174995,6.04513e-08,0.17815,1.54755e-07,0.176572,1.02163e-07
0.18,0.184022,3.86888e-08,0.187964,7.31461e-08,0.185993,5.45573e-08
0.19,0.196293,1.54755e-07,0.193577,5.44062e-07,0.194935,2.96212e-08
0.2,0.207184,3.77821e-07,0.208712,5.44062e-09,0.207948,1.18485e-07
0.22,0.229593,6.04513e-10,0.227257,1.54755e-07,0.228425,4.36761e-08
0.24,0.247912,2.96212e-08,0.245207,2.6659e-07,0.246559,2.96212e-08
0.26,0.274026,1.74704e-07,0.271596,6.04513e-10,0.272811,3.86888e-08
0.28,0.289535,9.67221e-09,0.290657,8.70499e-08,0.290096,9.67221e-09
